Id,Label,timeset,original,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,Authority,Hub,componentnumber,stat_inf_class
"Peter, the butler",Peter 2,,Peter,2,2,5,0.311881,0.349559,0,3,1,1,0.072777,0,0.029278,0,1
"Peter, the clerk",Peter 3,,Peter,7,8,5,0.354597,0.408466,951.06967,7,0.190476,4,0.143995,0,0.050991,0,1
Philip,Philip,,Philip,2,2,5,0.278351,0.301587,0,7,1,1,0.039041,0,0.014694,0,1
Raher,Raher,,Raher,3,4,5,0.325301,0.365697,0,0,1,3,0.167796,0,0.122899,0,2
Ralph Bilhog,Ralph 1,,Ralph,2,2,5,0.311367,0.335714,0,4,1,1,0.043983,0,0.010284,0,1
Ralph Cepernail,Ralph 2,,Ralph,2,2,5,0.315,0.339153,0,7,1,1,0.060334,0,0.020907,0,1
Ralph Gray,Ralph 3,,Ralph,1,1,6,0.23625,0.249647,0,1,0,0,0.004941,0.00014,0,0,0
Ralph of Bolney,Ralph 4,,Ralph,3,4,5,0.315526,0.341799,0.720238,7,0.666667,2,0.073296,0,0.025793,0,1
Ralph of Caversham,Ralph 5,,Ralph,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Ralph of Oxford,Ralph 6,,Ralph,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Ralph of Reading,Ralph 7,,Ralph,2,2,5,0.278351,0.301587,0,7,1,1,0.039041,0,0.014694,0,1
Ralph of Stanford,Ralph 8,,Ralph,2,2,5,0.311881,0.349559,0,3,1,1,0.075702,0,0.029524,0,0
Ralph Purcell,Ralph 9,,Ralph,14,27,5,0.336898,0.39612,111.407278,3,0.192308,15,0.182783,0.035139,0.036422,0,0
Ralph Wille,Ralph 10,,Ralph,5,10,5,0.326425,0.370988,0.333333,0,0.8,8,0.225591,0,0.163811,0,2
"Ralph, father of Raymond",Ralph 11,,Ralph,1,1,6,0.238636,0.256526,0,3,0,0,0.007531,0,0,0,0
"Ralph, his partner",Ralph 12,,Ralph,2,2,6,0.241997,0.25776,0,1,1,1,0.00979,0,0.002889,0,0
"Ralph, the canon",Ralph 13,,Ralph,2,2,5,0.278351,0.301587,0,7,1,1,0.039041,0,0.014694,0,1
"Ralph, the janitor",Ralph 14,,Ralph,2,2,5,0.324185,0.362169,0,0,1,1,0.118426,0,0.09472,0,2
"Ralph, the provost",Ralph 15,,Ralph,2,2,6,0.241997,0.25776,0,1,1,1,0.00979,0,0.002889,0,0
"Ralph, the steward",Ralph 16,,Ralph,6,10,4,0.390496,0.424162,250.255853,7,0.266667,4,0.165939,0,0.058682,0,1
"Rannulf, son of Tomus",Rannulf,,Rannulf,2,2,5,0.285498,0.311817,143.130598,1,0,0,0.033247,0.001605,0.001451,0,0
"Raymond, son of Ralph the steward",Raymond 1,,Raymond,3,5,5,0.312914,0.353086,188,3,0.333333,1,0.077802,0,0.028285,0,0
"Raymond, son of Roger",Raymond 2,,Raymond,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
"Raymond, the merchant",Raymond 3,,Raymond,11,20,4,0.429545,0.47619,1725.695176,0,0.290909,16,0.36223,0,0.229856,0,2
Reading Abbey,Reading,,Reading,7,7,5,0.332746,0.357143,380.065112,5,0.285714,6,0.058428,0.034325,0,0,2
Reginald Lamb,Reginald 1,,Reginald,5,6,5,0.329268,0.365168,208.170516,7,0.3,3,0.09036,0,0.032262,0,2
Reginald of Sulham,Reginald 2,,Reginald,2,4,5,0.311881,0.349559,0,3,1,1,0.076253,0,0.028285,0,0
"Reginald, the butler",Reginald 3,,Reginald,2,2,5,0.278351,0.301587,0,7,1,1,0.039041,0,0.014694,0,1
"Reginald, the chamberlain",Reginald 4,,Reginald,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
"Reginald, the steward",Reginald 5,,Reginald,2,2,5,0.324185,0.362169,0,0,1,1,0.105078,0,0.081651,0,2
Richard Boistard,Richard 1,,Richard,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Richard of Oakley,Richard 2,,Richard,2,4,5,0.311881,0.349559,0,3,1,1,0.076253,0,0.028285,0,0
Richard Wille,Richard 3,,Richard,2,2,5,0.324742,0.363051,0,0,1,1,0.111097,0,0.078409,0,2
"Richard, son of Hugh of Dunesden",Richard 4,,Richard,2,4,5,0.311881,0.349559,0,3,1,1,0.072984,0,0.029616,0,0
"Richard, step-son of Azo of Sonning",Richard 5,,Richard,2,4,5,0.311881,0.349559,0,3,1,1,0.072984,0,0.029616,0,0
Robert of Herewardsley,Robert 1,,Robert,7,7,5,0.332746,0.357143,380.065112,5,0.285714,6,0.058428,0.03401,0.003287,0,2
Robert of Wallingford,Robert 2,,Robert,2,2,5,0.278351,0.301587,0,7,1,1,0.041361,0,0.016826,0,1
Robert of Waltham,Robert 3,,Robert,4,6,5,0.3375,0.383333,111.455667,3,0.333333,2,0.114344,0,0.046442,0,1
Robert Olient,Robert 4,,Robert,2,2,6,0.263598,0.282892,0,4,1,1,0.019214,0,0.002132,0,1
Robert Partes,Robert 5,,Robert,2,4,5,0.311881,0.349559,0,3,1,1,0.076253,0,0.028285,0,0
Robert sellario,Robert 6,,Robert,2,2,5,0.324185,0.362169,0,0,1,1,0.103416,0,0.082443,0,2
"Robert, brother of Hugh of Shottesbrooke",Robert 7,,Robert,3,3,5,0.324742,0.364815,0,0,1,3,0.12923,0,0.095597,0,2
"Robert, the chamberlain",Robert 8,,Robert,4,6,5,0.316054,0.344444,9.189065,7,0.5,3,0.083939,0,0.028548,0,1
"Robert, the steward",Robert 9,,Robert,2,2,5,0.311367,0.335714,0,4,1,1,0.043983,0,0.010284,0,1
Roger of Coley,Roger 1,,Roger,4,4,5,0.330998,0.374515,154.928571,5,0.333333,2,0.116168,0,0.088987,0,2
Roger of Saint Johns,Roger 2,,Roger,2,2,6,0.256793,0.270282,0,6,1,1,0.017978,0,0.010038,0,2
Roger of the Chamber,Roger 3,,Roger,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
Roger of Waltham,Roger 4,,Roger,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
Roger pictore,Roger 5,,Roger,2,2,5,0.311881,0.349559,0,3,1,1,0.075702,0,0.029524,0,0
"Roger, Abbot of Reading",Roger 6,,Roger,17,18,5,0.356604,0.405203,1458.396013,4,0.110294,15,0.106243,0.01375,0.009783,0,1
Simon of Wallingford,Simon 1,,Simon,2,2,6,0.250331,0.262963,0,5,1,1,0.012753,0,0.006544,0,2
"Simon, sub-prior of Reading",Simon 2,,Simon,2,2,5,0.324185,0.362169,0,2,1,1,0.093528,0,0.073328,0,2
"Simon, the servant",Simon 3,,Simon,2,2,6,0.241997,0.25776,0,1,1,1,0.00979,0,0.002889,0,0
"Simon, the stable-keeper",Simon 4,,Simon,3,6,5,0.324742,0.364815,0,0,1,3,0.161344,0,0.125481,0,2
"Simon, the steward",Simon 5,,Simon,4,6,5,0.316054,0.344444,9.189065,7,0.5,3,0.083939,0,0.028548,0,1
Sir Peter Blund,Peter 4,,Peter,8,8,5,0.343636,0.369929,381.777663,6,0.25,7,0.090782,0.052409,0,0,2
Tomus,Tomus,,Tomus,7,7,5,0.317114,0.345326,385.456368,1,0.238095,5,0.036083,0.015156,0,0,0
"Turgis, Geoffrey's son-in-law",Turgis,,Turgis,4,5,5,0.325862,0.368342,188,0,0.5,3,0.163257,0,0.126643,0,2
Walter Furmache,Walter 1,,Walter,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Walter Marshal,Walter 2,,Walter,1,1,5,0.311367,0.346914,0,3,0,0,0.059312,0,0.024919,0,0
Walter of Bollyngeshull,Walter 3,,Walter,2,2,5,0.324185,0.362169,0,0,1,1,0.103416,0,0.082443,0,2
Walter of Constanc',Walter 4,,Walter,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Walter of Essindine,Walter 5,,Walter,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
Walter of Oxford,Walter 6,,Walter,13,21,4,0.483376,0.513668,2999.117222,0,0.153846,12,0.397219,0,0.239971,0,2
Walter of Stokes,Walter 7,,Walter,3,4,5,0.324742,0.364815,0,0,1,3,0.161777,0,0.12614,0,2
Walter Peg,Walter 8,,Walter,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
Walter Wille,Walter 9,,Walter,3,4,5,0.325301,0.365697,0,0,1,3,0.1475,0,0.105004,0,2
"Walter, son of Aldwin Wille",Walter 10,,Walter,3,3,5,0.316054,0.342681,188,7,0.333333,1,0.061778,0,0.0211,0,1
"Walter, son of Liulf of Stokes",Walter 11,,Walter,2,2,6,0.263598,0.282892,0,4,1,1,0.019214,0,0.002132,0,1
"Walter, son of Walter of Stokes",Walter 12,,Walter,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
"Walter, son-in-law of Walter of Oxford",Walter 13,,Walter,3,4,5,0.324742,0.364815,0,0,1,3,0.161344,0,0.125481,0,2
"Walter, the cook",Walter 14,,Walter,5,6,4,0.389691,0.421517,215.515492,7,0.3,3,0.146679,0,0.053185,0,0
"Walter, the marshal",Walter 15,,Walter,11,11,5,0.313433,0.356966,124.525213,7,0.181818,10,0.104393,0.028765,0,0,1
Warin of Ponte,Warin 1,,Warin,2,2,5,0.311367,0.335714,0,4,1,1,0.043983,0,0.010284,0,1
Warin preposito,Warin 2,,Warin,5,6,4,0.389691,0.421517,182.761231,7,0.3,3,0.148998,0,0.055317,0,1
Warin Wafree,Warin 3,,Warin,2,2,5,0.311881,0.349559,0,3,1,1,0.075702,0,0.029524,0,0
"Warin, son of Ralph of Wycombe",Warin 4,,Warin,11,11,5,0.300477,0.341887,304.781349,4,0.181818,10,0.054408,0.008517,0,0,1
William Bevin,William 1,,William,5,8,4,0.389691,0.421517,196.004684,3,0.3,3,0.160814,0,0.061354,0,1
William Boistard,William 2,,William,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
William Cailli,William 3,,William,2,2,6,0.263598,0.282892,0,4,1,1,0.019214,0,0.002132,0,1
William Chamberlain,William 4,,William,41,53,4,0.442623,0.527778,2025.645261,0,0.084615,66,0.704901,0.464563,0.121112,0,2
William Crawe,William 5,,William,2,2,5,0.324185,0.362169,0,0,1,1,0.138722,0,0.112615,0,2
William Furmache,William 6,,William,2,2,5,0.311881,0.349559,0,3,1,1,0.087015,0,0.036088,0,0
"William I, Abbot of Reading",William 7,,William,28,38,4,0.384146,0.451058,1907.29119,7,0.089947,34,0.310179,0.124676,0.016762,0,1
William of Almonry,William 8,,William,2,2,5,0.324742,0.363051,0,0,1,1,0.111097,0,0.078409,0,2
William of Coley,William 9,,William,2,2,6,0.250331,0.262963,0,5,1,1,0.012753,0,0.006544,0,2
William of Lincoln,William 10,,William,1,1,5,0.311367,0.346914,0,3,0,0,0.059312,0.002725,0,0,0
William of Waltham,William 11,,William,5,6,5,0.349353,0.397884,228.877745,0,0.4,4,0.216486,0,0.156036,0,1
"William, a child",William 12,,William,2,2,5,0.324742,0.363051,0,0,1,1,0.111097,0,0.078409,0,2
"William, chaplain of Coley",William 13,,William,2,2,5,0.324185,0.362169,0,2,1,1,0.093528,0,0.073328,0,2
"William, earl of Salisbury",William 14,,William,2,2,6,0.256793,0.270282,0,6,1,1,0.017978,0,0.010038,0,2
"William, son of Robert of Reading",William 15,,William,14,14,5,0.332746,0.394356,111.093018,3,0.142857,13,0.175225,0.048079,0,0,0
"William, son of Robert of Waltham",William 16,,William,2,4,5,0.311881,0.349559,0,3,1,1,0.072984,0,0.029616,0,0
"William, the butler",William 17,,William,3,6,5,0.324742,0.364815,0,0,1,3,0.161777,0,0.12614,0,2
"William, the steward",William 18,,William,5,6,4,0.41087,0.450176,830.295532,3,0.4,4,0.247902,0,0.168488,0,1
"William, the vitner",William 19,,William,2,2,5,0.324185,0.362169,0,0,1,1,0.118426,0,0.09472,0,2
Wyce of Shottesbrooke,Wyce,,Wyce,2,2,5,0.324185,0.362169,0,0,1,1,0.118426,0,0.09472,0,2
